ags5,date,ground_truth,pred,error
2000,5/31/2019,6.1,5.9169526,0.18304739
2000,6/30/2019,6.1,5.9986253,0.101374722
2000,7/31/2019,6.3,6.1036367,0.196363258
2000,8/31/2019,6.3,6.1158123,0.184187698
2000,9/30/2019,6.1,6.0399847,0.060015297
2000,10/31/2019,6.1,5.9321113,0.167888737
2000,11/30/2019,6,5.8610487,0.138951302
2000,12/31/2019,6,5.888817,0.111183167
3101,1/31/2018,5.7,5.6097693,0.090230656
3101,2/28/2018,5.6,5.6499696,0.049969578
3101,3/31/2018,5.6,5.732802,0.132801914
3101,4/30/2018,5.5,5.519383,0.019382954
3101,5/31/2018,5.3,5.5502415,0.25024147
3101,6/30/2018,5.3,5.6214075,0.321407509
3101,7/31/2018,5.5,5.4841256,0.015874386
3101,8/31/2018,5.4,5.5369635,0.136963463
3101,9/30/2018,5.2,5.5287437,0.328743744
3101,10/31/2018,5,5.231035,0.231035233
3101,11/30/2018,4.9,5.1851287,0.285128689
3101,12/31/2018,4.9,5.205184,0.305183983
3101,1/31/2019,5.3,5.1527014,0.147298622
3101,2/28/2019,5.2,5.228374,0.028374004
3101,3/31/2019,5,5.248158,0.248157978
3101,4/30/2019,4.9,5.0537,0.15369997
3101,5/31/2019,4.9,5.012612,0.112611866
3101,6/30/2019,4.8,5.1087747,0.308774662
3101,7/31/2019,5,5.042557,0.042556763
3101,8/31/2019,5.1,5.030621,0.069378948
3101,9/30/2019,4.8,4.985874,0.185874176
3101,10/31/2019,4.7,4.749553,0.049553204
3101,11/30/2019,4.5,4.7082305,0.208230495
3101,12/31/2019,4.5,4.8109674,0.310967445
3102,1/31/2018,10.2,10.192263,0.00773735
3102,2/28/2018,10,10.407217,0.407217026
3102,3/31/2018,9.8,10.460197,0.660197449
3102,4/30/2018,9.7,10.024701,0.324701118
3102,5/31/2018,9.3,9.926578,0.626577568
3102,6/30/2018,9.3,9.957192,0.657192421
3102,7/31/2018,9.4,9.685989,0.28598938
3102,8/31/2018,9.4,9.753057,0.353056526
3102,9/30/2018,8.9,9.718577,0.818577385
3102,10/31/2018,8.7,9.131448,0.431447792
3102,11/30/2018,8.4,9.189031,0.789030647
3102,12/31/2018,8.7,9.331125,0.631125259
3102,1/31/2019,9.1,9.131535,0.031534576
3102,2/28/2019,9.3,9.244685,0.055314827
3102,3/31/2019,9,9.242515,0.24251461
3102,4/30/2019,8.9,9.001468,0.101467705
3102,5/31/2019,8.8,8.871979,0.07197876
3102,6/30/2019,8.8,8.974624,0.17462368
3102,7/31/2019,8.8,8.947228,0.147228432
3102,8/31/2019,9,8.919466,0.080533981
3102,9/30/2019,8.6,8.709221,0.109220886
3102,10/31/2019,8.5,8.447677,0.052323341
3102,11/30/2019,8.3,8.289948,0.010051537
3102,12/31/2019,8.4,8.449634,0.049633598
3103,1/31/2018,5.3,4.740655,0.559345055
3103,2/28/2018,5.3,4.771386,0.528613853
3103,3/31/2018,5.1,4.7999053,0.3000947
3103,4/30/2018,5,4.9075203,0.092479706
3103,5/31/2018,4.8,4.779355,0.020644951
3103,6/30/2018,4.7,4.8722997,0.172299671
3103,7/31/2018,4.8,4.8350887,0.03508873
3103,8/31/2018,4.8,4.815571,0.015570831
3103,9/30/2018,4.5,4.7431526,0.243152618
3103,10/31/2018,4.4,4.4480224,0.048022366
3103,11/30/2018,4.3,4.425709,0.125708771
3103,12/31/2018,4.4,4.578928,0.178927994
3103,1/31/2019,4.8,4.7064915,0.09350853
3103,2/28/2019,4.8,4.772588,0.027412224
3103,3/31/2019,4.8,4.788939,0.011061001
3103,4/30/2019,4.7,4.6840935,0.015906525
3103,5/31/2019,4.6,4.5815783,0.018421745
3103,6/30/2019,4.5,4.627176,0.127175808
3103,7/31/2019,4.6,4.57408,0.02592001
3103,8/31/2019,4.6,4.556263,0.04373703
3103,9/30/2019,4.3,4.446321,0.146321011
3103,10/31/2019,4.3,4.253802,0.046198177
3103,11/30/2019,4.1,4.2154737,0.115473652
3103,12/31/2019,4,4.2906513,0.290651321
3151,1/31/2018,4.7,4.526376,0.173624229
3151,2/28/2018,4.9,4.6010737,0.298926258
3151,3/31/2018,4.7,4.6101403,0.089859676
3151,4/30/2018,4.6,4.568981,0.031018829
3151,5/31/2018,4.4,4.5327873,0.132787323
3151,6/30/2018,4.3,4.572359,0.272359085
3151,7/31/2018,4.5,4.4613266,0.038673401
3151,8/31/2018,4.4,4.397451,0.002549076
3151,9/30/2018,4.2,4.338451,0.138450909
3151,10/31/2018,4.2,4.138057,0.061942768
3151,11/30/2018,4,4.052886,0.052886009
3151,12/31/2018,4,4.1879253,0.187925339
3151,1/31/2019,4.2,4.2692976,0.0692976
3151,2/28/2019,4.2,4.3784056,0.178405571
3151,3/31/2019,4,4.4139447,0.413944721
3151,4/30/2019,3.9,4.1210594,0.221059418
3151,5/31/2019,4,4.101972,0.101972103
3151,6/30/2019,4,4.1642113,0.164211273
3151,7/31/2019,4.1,4.1126347,0.012634659
3151,8/31/2019,4.2,4.1131406,0.086859417
3151,9/30/2019,3.9,4.0618544,0.161854362
3151,10/31/2019,3.8,3.9356277,0.135627699
3151,11/30/2019,3.7,3.8548696,0.154869604
3151,12/31/2019,3.8,3.92133,0.121329975
3153,1/31/2018,7.4,7.1483636,0.25163641
3153,2/28/2018,7.1,7.279484,0.179483795
3153,3/31/2018,6.9,7.1881323,0.288132286
3153,4/30/2018,6.7,6.839787,0.139787006
3153,5/31/2018,6.5,6.74528,0.245279789
3153,6/30/2018,6.4,6.8112254,0.411225414
3153,7/31/2018,6.5,6.5772676,0.077267647
3153,8/31/2018,6.2,6.5927854,0.392785358
3153,9/30/2018,5.8,6.5819726,0.781972599
3153,10/31/2018,5.9,6.0825057,0.182505703
3153,11/30/2018,5.8,6.217925,0.417925072
3153,12/31/2018,6,6.4316244,0.431624413
3153,1/31/2019,6.5,6.4156966,0.084303379
3153,2/28/2019,6.3,6.4417706,0.141770554
3153,3/31/2019,6.2,6.44156,0.241559792
3153,4/30/2019,5.9,6.1699357,0.269935703
3153,5/31/2019,5.7,6.1739197,0.473919678
3153,6/30/2019,5.6,6.2726474,0.672647381
3153,7/31/2019,5.8,5.8508797,0.050879669
3153,8/31/2019,6,5.8357196,0.164280415
3153,9/30/2019,5.8,5.728627,0.071372795
3153,10/31/2019,5.7,5.628981,0.071018887
3153,11/30/2019,5.7,5.6243277,0.07567234
3153,12/31/2019,5.8,5.738122,0.061878014
3154,1/31/2018,6.9,6.65643,0.243570232
3154,2/28/2018,6.9,6.7242556,0.175744438
3154,3/31/2018,6.5,6.7353697,0.235369682
3154,4/30/2018,6.4,6.5792503,0.179250336
3154,5/31/2018,6.3,6.602954,0.302953911
3154,6/30/2018,6.2,6.6455073,0.445507336
3154,7/31/2018,6.3,6.510815,0.210815144
3154,8/31/2018,6.2,6.504864,0.304864216
3154,9/30/2018,6,6.4853177,0.485317707
3154,10/31/2018,5.8,6.0769734,0.276973438
3154,11/30/2018,5.7,6.049391,0.349390793
3154,12/31/2018,5.7,6.2454715,0.545471478
3154,1/31/2019,6,6.1376853,0.137685299
3154,2/28/2019,6,6.192772,0.192771912
3154,3/31/2019,5.8,6.160037,0.360037041
3154,4/30/2019,5.8,5.9105844,0.11058445
3154,5/31/2019,5.8,5.8902416,0.090241623
3154,6/30/2019,5.8,5.9442286,0.144228649
3154,7/31/2019,6,5.916176,0.083824158
3154,8/31/2019,5.9,5.869098,0.030901814
3154,9/30/2019,5.5,5.80373,0.303730011
3154,10/31/2019,5.6,5.5375853,0.062414742
3154,11/30/2019,5.5,5.4826217,0.01737833
3154,12/31/2019,5.6,5.597955,0.002044773
3155,1/31/2018,6,5.7886634,0.211336613
3155,2/28/2018,5.9,5.8277693,0.072230721
3155,3/31/2018,5.7,5.8100295,0.110029507
3155,4/30/2018,5.6,5.5770283,0.022971725
3155,5/31/2018,5.4,5.49777,0.097769833
3155,6/30/2018,5.2,5.584845,0.384845066
3155,7/31/2018,5.5,5.445698,0.054302216
